"CandCommName","Payee","CityState","Amount","ExpenditureDate","ExpenditureType","ExpenditureCode"
"Marion County Democratic Central Committee","NGP Software","Washington, DC","4425.0000","3/23/2011 12:00:00 AM","Direct","Operations"
"Marion County Democratic Central Committee","NGP Software","Washington, DC","750.0000","2/1/2011 12:00:00 AM","Direct","Operations"
"Marion County Democratic Central Committee","NGP Software","Washington, DC","3750.0000","6/20/2011 12:00:00 AM","Direct","Operations"
"Marion County Democratic Central Committee","NGP Software","Washington, DC","1425.0000","10/1/2011 12:00:00 AM","Direct","Operations"
"Marion County Democratic Central Committee","NGP Software","Washington, DC","750.0000","5/2/2011 12:00:00 AM","Direct","Operations"
"Marion County Democratic Central Committee","NGP Software","Washington, DC","675.0000","7/1/2011 12:00:00 AM","Direct","Operations"
"Marion County Democratic Central Committee","NGP Software","Washington, DC","750.0000","7/20/2011 12:00:00 AM","Direct","Operations"
"Gregg for Indiana","NGP VAN","Washington, DC","2850.0000","9/30/2011 12:00:00 AM","Direct","Operations"
"Gregg for Indiana","NGP VAN","Washington, DC","3350.0000","6/7/2011 12:00:00 AM","Direct","Operations"
"HOOSIERS FOR SCOTT PELATH","NGP VAN, Inc.","Washington, DC","710.0000","9/26/2011 12:00:00 AM","Direct","Operations"
"Marion County Democratic Central Committee","NGP Software","Washington, DC","350.0000","10/31/2011 12:00:00 AM","Direct","Operations"
"Gregg for Indiana","NGP VAN","Washington, DC","2850.0000","3/7/2012 12:00:00 AM","Direct","Operations"
"HOOSIERS FOR SCOTT PELATH","NGP VAN, Inc.","Washington, DC","540.0000","1/4/2012 12:00:00 AM","Direct","Operations"
"Committee To Elect David Vinzant","NGP VAN","Washington, DC","250.0000","1/1/2012 12:00:00 AM","Direct","Operations"
"Committee To Elect David Vinzant","NGP VAN","Washington, DC","300.0000","2/26/2012 12:00:00 AM","Direct","Operations"
"Committee To Elect David Vinzant","NGP VAN","Washington, DC","180.0000","4/1/2012 12:00:00 AM","Direct","Operations"
"Marion County Democratic Central Committee","NGP Software","Washington, DC","575.0000","4/2/2012 12:00:00 AM","Direct","Operations"
"Gregg for Indiana","NGP VAN","Washington, DC","2850.0000","4/1/2012 12:00:00 AM","Direct","Operations"
"Gregg for Indiana","NGP VAN","Washington, DC","2850.0000","6/4/2012 12:00:00 AM","Direct","Operations"
"Indiana Lunch Pail Republicans PAC","NGP VAN","washington DC, DC","300.0000","4/18/2012 12:00:00 AM","Direct","Operations"
"Gregg for Indiana","NGP VAN","Washington, DC","2850.0000","9/14/2012 12:00:00 AM","Direct","Operations"
"HOOSIERS FOR SCOTT PELATH","NGP VAN, Inc.","Washington, DC","270.0000","4/23/2012 12:00:00 AM","Direct","Operations"
"HOOSIERS FOR SCOTT PELATH","NGP VAN, Inc.","Washington, DC","540.0000","9/14/2012 12:00:00 AM","Direct","Operations"
"Hare for State Rep","NGP Van, Inc","Sommerset, MA","700.0000","4/25/2012 12:00:00 AM","In-Kind","Advertising"
"Hare for State Rep","NGP Van, Inc","Sommerset, MA","-700.0000","4/25/2012 12:00:00 AM","In-Kind","Advertising"
"Marion County Democratic Central Committee","NGP VAN, Inc","Washington , DC","1425.0000","4/30/2012 12:00:00 AM","Direct","Operations"
"Marion County Democratic Central Committee","NGP VAN, Inc","Washington , DC","1425.0000","7/18/2012 12:00:00 AM","Direct","Operations"
"Marion County Democratic Central Committee","NGP VAN, Inc","Washington , DC","1425.0000","7/25/2012 12:00:00 AM","Direct","Operations"
"Stith for State Rep","NGP, Van, Inc.","Somerville, MA","700.0000","4/25/2012 12:00:00 AM","In-Kind","Advertising"
"Stith for State Rep","NGP, Van, Inc.","Somerville, MA","-700.0000","4/25/2012 12:00:00 AM","In-Kind","Advertising"
"Greater Indianapolis Democratic Committee","NGP VAN, Inc.","Washington, DC","150.0000","7/25/2012 12:00:00 AM","Direct","Operations"
"Greater Indianapolis Democratic Committee","NGP VAN, Inc.","Washington, DC","150.0000","10/9/2012 12:00:00 AM","Direct","Operations"
"Greater Indianapolis Democratic Committee","NGP VAN, Inc.","Washington, DC","150.0000","5/14/2012 12:00:00 AM","Direct","Operations"
"James Amick for H64","NGP Van, Inc.","Somerville, MA","700.0000","4/25/2012 12:00:00 AM","In-Kind","Advertising"
"James Amick for H64","NGP Van, Inc.","Somerville, MA","-700.0000","4/25/2012 12:00:00 AM","In-Kind","Advertising"
"Committee to Elect Michael S. Scott","NGP Van, Inc.","Sommerville, MA","700.0000","4/25/2012 12:00:00 AM","In-Kind","Advertising"
"Committee to Elect Michael S. Scott","NGP Van, Inc.","Sommerville, MA","-700.0000","4/25/2012 12:00:00 AM","In-Kind","Advertising"
"Greater Indianapolis Democratic Committee","NGP VAN, Inc.","Washington, DC","150.0000","7/25/2012 12:00:00 AM","Direct","Operations"
"Greater Indianapolis Democratic Committee","NGP VAN, Inc.","Washington, DC","150.0000","10/9/2012 12:00:00 AM","Direct","Operations"
"Greater Indianapolis Democratic Committee","NGP VAN, Inc.","Washington, DC","150.0000","5/14/2012 12:00:00 AM","Direct","Operations"
