DEPOS_ID,FULL_NAME,STREET,CITY,STATE,ZIP,REP_NUM,
"589","Exchange Bank","","Perry","OK","","22194"
"590","Ameriquest Bank","6809 N. Meridian","Oklahoma City","OK","731161404","7028"
"591","Bank of Commerce","PO Box 512","Stilwell","OK","","7315"
"592","Arvest Bank","SE 29th St","Del City","OK","","10588"
"593","First National Bank & Trust","602 W Grand Ave","Chickasha","OK","","7732"
"594","Communication Fed Credit Union","100 West Fifth St","Tulsa","OK","","7248"
"595","First American Bank","324 W Main","Purcell","OK","","23624"
"596","First National Bank & Trust of","PO Box 669","Ada","OK","","30387"
"597","Bank of the Wichitas","PO Box 348","Snyder","OK","","7252"
"598","IBC Int'l Bank of Commerce","3601 NW 63rd St","Oklahoma City","OK","","17792"
"599","First National Bank","130 E MacArthur","Shawnee","OK","","7271"
"600","BancFirst","PO Box 25788","Oklahoma City","OK","","7289"
"601","Arvest State Bank","3400 S Peoria","Tulsa","OK","","7348"
"602","Local Oklahoma Bank NA","100 E 3rd St","Grove","OK","","7388"
"603","First Southwest Bank","PO Box 430","Frederick","OK","","7349"
"604","Bank One","","","","","7350"
"605","City National Bank","601 N Main","Guymon","OK","","7368"
"606","BancFirst","","Oklahoma City","OK","","7369"
"607","First State Bank","","Chanute","OK","","7370"
"608","Midfirst Bank","6351 N MacArthur","Oklahoma City","OK","","7371"
"609","Bank One","1112 NW 23rd St","Oklahoma City","OK","","7373"
"610","BancFrist","206 N 2nd St","Seminole","OK","","7376"
"611","BancFirst","","","","","7377"
"612","First Fidelity Bank","400 S Eastern","Moore","OK","","7378"
"613","Same","","","","","22477"
"615","American Heritage","PO Box 1408","Sapulpa","OK","74067","7380"
"614","Spirit Bank","1315 East Taft","Sapulp","OK","","7380"
"617","Central National Bank","Box 340","Poteau","OK","74953","12985"
"616","First National Bank","Box 68","Heavener","OK","","12985"
"485","Bank One","","Oklahoma City","OK","","20687"
"486","Bank  of Oklahoma","PO B ox 2300","Tulsa","OK","","22423"
"487","Communication Federal CU","100 W Fifth St","Tulsa","OK","","29204"
"488","Arvest Bank","9th & Broadway","Shawnee","OK","","25232"
"489","NBC Bank Pawhuska","PO Box 27","Pawhuska","OK","","22243"
"490","American State Bank","PO Box 6389","Tulsa","OK","","9221"
"491","Home National Bank","PO Box 1151","Ponca City","OK","","21173"
"492","Bank One","PO Box 25848","Oklahoma City","OK","73125","6797"
"493","First Pryority Bank","310 E Graham","Pryor","OK","74361","6828"
"494","1st National Bank","PO Box 377","Pawnee","OK","","7244"
"495","Stillwater National Bank","6305 Waterford Blvd","Oklahoma City","OK","73118","6833"
"496","Midfirst Bank, OKC","","","","","29404"
"498","Bank of OKlahoma","6036 S Yale","Tulsa","OK","","22305"
"499","Canadian State Bank","PO Box 851520","Yukon","OK","","22530"
