REP_NUM,SURP_ID,
"34066","9"
"34066","8"
"34066","7"
"34066","6"
"34066","5"
"34066","4"
"34066","3"
"34066","2"
"34066","1"
"7161","10"
"7161","9"
"7161","8"
"7161","7"
"7161","6"
"7161","5"
"7161","4"
"7161","3"
"7161","2"
"7161","1"
"7314","10"
"7314","9"
"7314","8"
"7314","7"
"7314","6"
"7314","5"
"7314","4"
"7314","3"
"7314","2"
"7314","1"
"6991","10"
"6991","9"
"6991","8"
"6991","7"
"6991","6"
"6991","5"
"6991","4"
"6991","3"
"6991","2"
"6991","1"
"6992","10"
"6992","9"
"6992","8"
"6992","7"
"6992","6"
"6992","5"
"6992","4"
"6992","3"
"6992","2"
"6992","1"
"31964","9"
"31964","8"
"31964","7"
"31964","6"
"31964","5"
"31964","4"
"31964","3"
"31964","2"
"31964","1"
"6994","10"
"6994","9"
"6994","8"
"6994","7"
"6994","6"
"6994","5"
"6994","4"
"6994","3"
"6994","2"
"6994","1"
"7028","10"
"7028","9"
"7028","8"
"7028","7"
"7028","6"
"7028","5"
"7028","4"
"7028","3"
"7028","2"
"7028","1"
"7315","10"
"7315","9"
"7315","8"
"7315","7"
"7315","6"
"7315","5"
"7315","4"
"7315","3"
"7315","2"
"7315","1"
"10588","10"
"10588","9"
"10588","8"
"10588","7"
"10588","6"
"10588","5"
"10588","4"
"10588","3"
"10588","2"
"10588","1"
"7732","10"
"7732","9"
"7732","8"
"7732","7"
"7732","6"
"7732","5"
"7732","4"
"7732","3"
"7732","2"
"7732","1"
"7248","10"
"7248","9"
"7248","8"
"7248","7"
"7248","6"
"7248","5"
"7248","4"
"7248","3"
"7248","2"
"7248","1"
"7252","10"
"7252","9"
"7252","8"
"7252","7"
"7252","6"
"7252","5"
"7252","4"
"7252","3"
"7252","2"
"7252","1"
"17792","9"
"17792","8"
"17792","7"
"17792","6"
"17792","5"
"17792","4"
"17792","3"
"17792","2"
"17792","1"
"7271","10"
"7271","9"
"7271","8"
"7271","7"
"7271","6"
"7271","5"
"7271","4"
"7271","3"
"7271","2"
"7271","1"
"7316","10"
"7316","9"
"7316","8"
"7316","7"
"7316","6"
"7316","5"
"7316","4"
"7316","3"
"7316","2"
"7316","1"
"7348","10"
"7348","9"
"7348","8"
"7348","7"
"7348","6"
"7348","5"
"7348","4"
"7348","3"
"7348","2"
"7348","1"
"7388","10"
"7388","9"
"7388","8"
"7388","7"
"7388","6"
"7388","5"
"7388","4"
"7388","3"
"7388","2"
"7388","1"
"7349","10"
"7349","9"
"7349","8"
"7349","7"
"7349","6"
"7349","5"
"7349","4"
"7349","3"
"7349","2"
"7349","1"
"7350","10"
