DISTRICT_ID,DISTRICT_DESC,
"281","District 6 Office 4"
"282","District 7 Office 4"
"283","District 8 Office 4"
"284","District 9 Office 4"
"285","District 10 Office 4"
"286","District 11 Office 4"
"287","District 12 Office 4"
"288","District 13 Office 4"
"289","District 14 Office 4"
"290","District 15 Office 4"
"291","District 16 Office 4"
"292","District 17 Office 4"
"293","District 18 Office 4"
"294","District 19 Office 4"
"295","District 20 Office 4"
"296","District 21 Office 4"
"297","District 22 Office 4"
"298","District 23 Office 4"
"299","District 24 Office 4"
"300","District 25 Office 4"
"301","District 26 Office 4"
"302","District 1 Office 5"
"303","District 2 Office 5"
"304","District 3 Office 5"
"305","District 4 Office 5"
"306","District 5 Office 5"
"307","District 6 Office 5"
"308","District 7 Office 5"
"309","District 8 Office 5"
"310","District 9 Office 5"
"311","District 10 Office 5"
"312","District 11 Office 5"
"313","District 12 Office 5"
"314","District 13 Office 5"
"315","District 14 Office 5"
"316","District 15 Office 5"
"317","District 16 Office 5"
"318","District 17 Office 5"
"319","District 18 Office 5"
"320","District 19 Office 5"
"321","District 20 Office 5"
"322","District 21 Office 5"
"323","District 22 Office 5"
"324","District 23 Office 5"
"325","District 24 Office 5"
"326","District 25 Office 5"
"327","District 26 Office 5"
"328","District 1 Office 6"
"329","District 2 Office 6"
"330","District 3 Office 6"
"331","District 4 Office 6"
"332","District 5 Office 6"
"333","District 6 Office 6"
"334","District 7 Office 6"
"335","District 8 Office 6"
"336","District 9 Office 6"
"337","District 10 Office 6"
"338","District 11 Office 6"
"339","District 12 Office 6"
"340","District 13 Office 6"
"341","District 14 Office 6"
"342","District 15 Office 6"
"343","District 16 Office 6"
"344","District 17 Office 6"
"345","District 18 Office 6"
"346","District 19 Office 6"
"347","District 20 Office 6"
"348","District 21 Office 6"
"349","District 22 Office 6"
"350","District 23 Office 6"
"351","District 24 Office 6"
"352","District 25 Office 6"
"353","District 26 Office 6"
"354","District 1 Office 7"
"355","District 2 Office 7"
"356","District 3 Office 7"
"357","District 4 Office 7"
"358","District 5 Office 7"
"359","District 6 Office 7"
"360","District 7 Office 7"
"361","District 8 Office 7"
"362","District 9 Office 7"
"363","District 10 Office 7"
"364","District 11 Office 7"
"365","District 12 Office 7"
"366","District 13 Office 7"
"367","District 14 Office 7"
"368","District 15 Office 7"
"369","District 16 Office 7"
"370","District 17 Office 7"
"371","District 18 Office 7"
"372","District 19 Office 7"
"373","District 20 Office 7"
"374","District 21 Office 7"
"375","District 22 Office 7"
"376","District 23 Office 7"
"377","District 24 Office 7"
"378","District 25 Office 7"
"379","District 26 Office 7"
"380","District 1 Office 8"
"381","District 2 Office 8"
"382","District 3 Office 8"
"383","District 4 Office 8"
"384","District 5 Office 8"
"385","District 6 Office 8"
"386","District 7 Office 8"
"387","District 8 Office 8"
"388","District 9 Office 8"
"389","District 10 Office 8"
"390","District 11 Office 8"
"391","District 12 Office 8"
"392","District 13 Office 8"
"393","District 14 Office 8"
"394","District 15 Office 8"
"395","District 16 Office 8"
"396","District 17 Office 8"
"397","District 18 Office 8"
"398","District 19 Office 8"
"399","District 20 Office 8"
"400","District 21 Office 8"
"401","District 22 Office 8"
"402","District 23 Office 8"
"403","District 24 Office 8"
"404","District 25 Office 8"
"405","District 26 Office 8"
"406","District 1 Office 9"
"407","District 2 Office 9"
"408","District 3 Office 9"
"409","District 4 Office 9"
"410","District 5 Office 9"
"411","District 6 Office 9"
"412","District 7 Office 9"
"413","District 8 Office 9"
"414","District 9 Office 9"
"415","District 10 Office 9"
"416","District 11 Office 9"
"417","District 12 Office 9"
"418","District 13 Office 9"
"419","District 14 Office 9"
"420","District 15 Office 9"
"421","District 16 Office 9"
"422","District 17 Office 9"
"423","District 18 Office 9"
"424","District 19 Office 9"
"425","District 20 Office 9"
"426","District 21 Office 9"
"427","District 22 Office 9"
"428","District 23 Office 9"
"429","District 24 Office 9"
"430","District 25 Office 9"
"431","District 26 Office 9"
"432","District 1 Office 10"
"433","District 2 Office 10"
"434","District 3 Office 10"
"435","District 4 Office 10"
"436","District 5 Office 10"
"437","District 6 Office 10"
"438","District 7 Office 10"
"439","District 8 Office 10"
"440","District 9 Office 10"
"441","District 10 Office 10"
"442","District 11 Office 10"
"443","District 12 Office 10"
"444","District 13 Office 10"
"445","District 14 Office 10"
"446","District 15 Office 10"
"447","District 16 Office 10"
"448","District 17 Office 10"
"449","District 18 Office 10"
"450","District 19 Office 10"
"451","District 20 Office 10"
"452","District 21 Office 10"
"453","District 22 Office 10"
"454","District 23 Office 10"
"455","District 24 Office 10"
"456","District 25 Office 10"
"457","District 26 Office 10"
"458","District 1 Office 11"
"459","District 2 Office 11"
"460","District 3 Office 11"
"461","District 4 Office 11"
"462","District 5 Office 11"
"463","District 6 Office 11"
"464","District 7 Office 11"
"465","District 8 Office 11"
"466","District 9 Office 11"
"467","District 10 Office 11"
"468","District 11 Office 11"
"469","District 12 Office 11"
"470","District 13 Office 11"
"471","District 14 Office 11"
"472","District 15 Office 11"
"473","District 16 Office 11"
"474","District 17 Office 11"
"475","District 18 Office 11"
"476","District 19 Office 11"
"477","District 20 Office 11"
"478","District 21 Office 11"
"479","District 22 Office 11"
"480","District 23 Office 11"
"481","District 24 Office 11"
"482","District 25 Office 11"
"483","District 26 Office 11"
"484","District 1 Office 12"
"485","District 2 Office 12"
"486","District 3 Office 12"
"487","District 4 Office 12"
"488","District 5 Office 12"
"489","District 6 Office 12"
"490","District 7 Office 12"
"491","District 8 Office 12"
"492","District 9 Office 12"
"493","District 10 Office 12"
"494","District 11 Office 12"
"495","District 12 Office 12"
"496","District 13 Office 12"
"497","District 14 Office 12"
"498","District 15 Office 12"
"499","District 16 Office 12"
"500","District 17 Office 12"
"501","District 18 Office 12"
"502","District 19 Office 12"
"503","District 20 Office 12"
"504","District 21 Office 12"
"505","District 22 Office 12"
"506","District 23 Office 12"
"507","District 24 Office 12"
"508","District 25 Office 12"
"509","District 26 Office 12"
"510","District 1 Office 13"
"511","District 2 Office 13"
"512","District 3 Office 13"
"513","District 4 Office 13"
"514","District 5 Office 13"
"515","District 6 Office 13"
"516","District 7 Office 13"
"517","District 8 Office 13"
"518","District 9 Office 13"
"519","District 10 Office 13"
"520","District 11 Office 13"
"521","District 12 Office 13"
"522","District 13 Office 13"
"523","District 14 Office 13"
"524","District 15 Office 13"
"525","District 16 Office 13"
"526","District 17 Office 13"
"527","District 18 Office 13"
"528","District 19 Office 13"
"529","District 20 Office 13"
"530","District 21 Office 13"
"531","District 22 Office 13"
"532","District 23 Office 13"
"533","District 24 Office 13"
"534","District 25 Office 13"
"535","District 26 Office 13"
"536","District 1 Office 14"
"537","District 2 Office 14"
"538","District 3 Office 14"
"539","District 4 Office 14"
"540","District 5 Office 14"
"541","District 6 Office 14"
"542","District 7 Office 14"
"543","District 8 Office 14"
"544","District 9 Office 14"
"545","District 10 Office 14"
"546","District 11 Office 14"
"547","District 12 Office 14"
"548","District 13 Office 14"
"549","District 14 Office 14"
"550","District 15 Office 14"
"551","District 16 Office 14"
"552","District 17 Office 14"
"553","District 18 Office 14"
"554","District 19 Office 14"
"555","District 20 Office 14"
"556","District 21 Office 14"
"557","District 22 Office 14"
"558","District 23 Office 14"
"559","District 24 Office 14"
"560","District 25 Office 14"
"561","District 26 Office 14"
"562","District 1 Office 15"
"563","District 2 Office 15"
"564","District 3 Office 15"
"588","Ward 1"
"565","District 4 Office 15"
"566","District 5 Office 15"
"567","District 6 Office 15"
"568","District 7 Office 15"
"569","District 8 Office 15"
"570","District 9 Office 15"
"571","District 10 Office 15"
"572","District 11 Office 15"
"573","District 12 Office 15"
"574","District 13 Office 15"
"575","District 14 Office 15"
"576","District 15 Office 15"
"577","District 16 Office 15"
"578","District 17 Office 15"
"579","District 18 Office 15"
"580","District 19 Office 15"
"581","District 20 Office 15"
"582","District 21 Office 15"
"583","District 22 Office 15"
"584","District 23 Office 15"
"585","District 24 Office 15"
"586","District 25 Office 15"
"587","District 26 Office 15"
"589","Ward 2"
"590","Ward 3"
"591","Ward 4"
"592","Ward 5"
"593","Ward 6"
"594","Ward 7"
"595","Ward 8"
"596","Ward 9"
"997","County Wide"
"996","Municipality Wide"
