REP_NUM,SO#,C1R#,
"38558","",""
"42117","","41812"
"36166","",""
"42128","",""
"42338","",""
"42335","",""
"42397","",""
"42404","",""
"42456","",""
"42490","",""
"43000","",""
"40562","",""
"42662","",""
"42663","",""
"42813","",""
"42876","",""
"43004","",""
"77954","",""
"51709","",""
"53563","",""
"53688","",""
"53893","",""
"52209","",""
"66668","",""
"66521","",""
"66378","",""
"63572","",""
"66122","",""
"66297","",""
"74555","",""
"75191","",""
"75165","",""
"77753","",""
"77924","",""
"77761","",""
"77858","",""
"77934","",""
"77925","",""
"78045","",""
"77285","",""
"64991","",""
"76597","",""
"76503","",""
"77124","",""
"77103","",""
"54203","",""
"54207","",""
"54339","",""
"74080","",""
"77789","",""
"77912","",""
"78066","",""
"54267","",""
"53596","",""
"53735","",""
"54385","",""
"54486","",""
"54525","",""
"54538","",""
"54554","",""
"65807","",""
"77549","",""
"66224","",""
"74404","",""
"76442","",""
"77889","",""
"77859","",""
"77980","",""
"78043","",""
"54112","",""
"65995","",""
"74413","",""
"74969","",""
"77780","",""
"76752","",""
"78065","",""
"77916","",""
"79679","",""
"58273","",""
"73064","",""
"73084","",""
