TRANSACTION_ID,RECEIPT_TYPE,OTHER_DESC,
TRANSACTION_ID,RECEIPT_TYPE,OTHER_DESC,
"131249","Interest","Int on account"
"131250","Interest","Int on account"
"131251","Interest","Int on account"
"132173","Refunds","Unused Hotel Rooms"
"132854","Refunds","Refund on Deposit for Community Center Room Rental"
"132866","Refunds","Refund of  Dinner Expense"
"132868","Refunds","Copier Use"
"132870","Refunds","Overlimit from 2004 Committee"
"134530","Interest","Earned"
"134531","Interest","Earned"
"134533","Interest","Earned"
"134535","Other","Voided Check"
"134736","Other","$50 or less receipts"
"136996","Interest",""
"136997","Interest",""
"136998","Interest",""
"136999","Interest",""
"137000","Interest",""
"137001","Interest",""
"137002","Interest",""
"137122","Other","Not given"
"137744","Interest",""
"137745","Interest",""
"137746","Interest",""
"137849","Refunds","Use of Copier"
"138936","Interest","Bank interest"
"138939","Interest","Bank interest"
"138941","Interest","Bank interest"
"139566","Interest","Interest on checking"
"139571","Interest","Interest on checking account"
"139573","Interest","Interest on checking account"
"140128","Refunds","None given"
"140135","Other","None given"
"140610","Other","Not Given"
"141765","Interest","Interest income"
"141766","Interest","Interest income"
"141768","Interest","Interest income"
"142658","Other","Travel expense reimbursement"
"142660","Other","Travel expense - reimbursement"
"143093","Other","Honorarium"
"143517","Refunds","Refund-advertising"
"143521","Interest","Interest on bank account"
"143524","Interest","Interest on bank account"
"143527","Interest","Interest on Bank account"
"143586","Interest","Interest"
"144497","Interest",""
"144498","Interest",""
"144499","Interest",""
"151225","Interest","NOT GIVEN"
"147416","Interest","Interest income on campaign funds in savings"
"147440","Other","Cell phone reimbursement"
"148398","Other","Not given"
"146195","Interest","INTEREST"
"146199","Interest","INTEREST"
"146202","Interest","INTEREST"
"148822","Interest",""
"149509","Refunds","Voided refund check"
"149510","Refunds","Voided refund check"
"149512","Refunds","Voided refund check"
"149513","Refunds","Voided refund check"
"149514","Refunds","Voided refund check"
"149515","Refunds","Voided refund check"
"149516","Refunds","Voided refund check"
"149517","Refunds","Voided refund check"
"149518","Refunds","Voided refund check"
"149519","Refunds","Voided refund check"
"149520","Refunds","Voided refund check"
"149521","Refunds","Voided refund check"
"149522","Refunds","Voided refund check"
"149523","Refunds","Voided refund check"
"149524","Refunds","Voided refund check"
"149525","Refunds","Voided refund check"
"149526","Refunds","Voided refund check"
"149527","Refunds","Voided refund check"
"149528","Refunds","Voided refund check"
"149529","Refunds","Voided refund check"
"149569","Refunds","Voided refund check"
"149570","Refunds","Voided refund check"
"149571","Refunds","Voided refund check"
"149572","Refunds","Voided refund check"
"149573","Refunds","Voided refund check"
"150678","Refunds","Voided refund check"
"150677","Refunds","Voided refund check"
"150679","Refunds","Voided refund check"
"150680","Refunds","Voided refund check"
"150681","Refunds","Voided refund check"
"150682","Refunds","Voided refund check"
"150683","Refunds","Voided refund check"
"150684","Refunds","Voided refund check"
"150685","Refunds","Voided refund check"
"150750","Refunds","Voided refund check"
"150751","Refunds","Voided refund check"
"150752","Refunds","Voided refund check"
"150753","Refunds","Voided refund check"
"150754","Refunds","Voided refund check"
"150755","Refunds","Voided refund check"
"150756","Refunds","Voided refund check"
"150757","Refunds","Voided refund check"
"150758","Refunds","Voided refund check"
"150773","Refunds","Voided refund check"
"150788","Interest","Interest Income"
"150789","Interest","Interest Income"
"150790","Interest","Interest Income"
"151226","Interest","INTEREST"
"151227","Interest","INTEREST"
"151528","Refunds","Voided refund check"
"151529","Refunds","Voided refund check"
"151530","Refunds","Voided refund check"
"151531","Refunds","Voided refund check"
"151532","Refunds","Voided refund check"
"151533","Refunds","Voided refund check"
"151534","Refunds","Voided refund check"
"151535","Refunds","Voided refund check"
"151536","Refunds","Voided refund check"
"151537","Refunds","Voided refund check"
"151538","Refunds","Voided refund check"
"151539","Refunds","Voided refund check"
"151540","Refunds","Voided refund check"
"151541","Refunds","Voided refund check"
"151542","Refunds","Voided refund check"
"151543","Refunds","Voided refund check"
"151544","Refunds","Voided refund check"
"151545","Refunds","Voided refund check"
"151546","Refunds","Voided refund check"
"151547","Refunds","Voided refund check"
"151548","Refunds","Voided refund check"
"151549","Refunds","Voided refund check"
"151550","Refunds","Voided refund check"
"151551","Refunds","Voided refund check"
"151552","Refunds","Voided refund check"
"151553","Refunds","Voided refund check"
"151554","Refunds","Voided refund check"
"151555","Refunds","Voided refund check"
"151556","Refunds","Voided refund check"
"151557","Refunds","Voided refund check"
"151558","Refunds","Voided refund check"
"151559","Refunds","Voided refund check"
"151560","Refunds","Voided refund check"
"151561","Refunds","Voided refund check"
"151562","Refunds","Voided refund check"
"151563","Refunds","Voided refund check"
"151564","Refunds","Voided refund check"
"151565","Refunds","Voided refund check"
"151566","Refunds","Voided refund check"
"151567","Refunds","Voided refund check"
"151569","Refunds","Voided refund check"
"151570","Refunds","Voided refund check"
"151571","Refunds","Voided refund check"
"151572","Refunds","Voided refund check"
"151573","Refunds","Voided refund check"
"151574","Refunds","Voided refund check"
"151575","Refunds","Voided refund check"
"151576","Refunds","Voided refund check"
"151577","Refunds","Voided refund check"
"151578","Refunds","Voided refund check"
"151579","Refunds","Voided refund check"
