TRANSACTION_ID,PROMISE_DATE,NATURE,D1_STATUS,REF_TRANS_ID,BALANCE,
"278848","15-OCT-06","Pledge","2","158948",""
"278857","15-OCT-06","Pledge","2","158956",""
"278858","15-OCT-06","Pledge","2","158958",""
"278860","15-OCT-06","Pledge","2","158959",""
"278861","15-OCT-06","Pledge","2","158964",""
"278862","15-OCT-06","Pledge","2","158966",""
"278863","15-OCT-06","Pledge","2","158972",""
"278865","15-OCT-06","Pledge","2","158965",""
"278866","15-OCT-06","Pledge","2","158963",""
"278867","15-OCT-06","Pledge","2","158947",""
"278868","15-OCT-06","Pledge","2","156167",""
"278869","15-OCT-06","Pledge","2","158961",""
"290833","21-JUN-06","Note","1","","100"
"290834","07-JUN-06","Note","1","","150"
"290835","19-MAY-06","Note","1","","250"
"290836","19-MAY-06","Note","1","","750"
"290837","19-MAY-06","Pledge","1","","5000"
"350050","25-AUG-06","Pledge","2","182491",""
"350060","06-SEP-06","Pledge","2","230992",""
"350083","06-SEP-06","Pledge","2","182482",""
"350098","06-SEP-06","Pledge","2","182461",""
"350148","06-SEP-06","Pledge","2","182454",""
"350154","06-SEP-06","Pledge","2","231006",""
"350163","06-SEP-06","Pledge","2","231000",""
"350181","06-SEP-06","Pledge","2","230995",""
"350192","11-SEP-06","Pledge","2","231058",""
"350201","11-SEP-06","Pledge","2","182473",""
"350205","04-OCT-06","Pledge","2","231000",""
"350217","04-OCT-06","Pledge","2","230995",""
"398298","31-MAR-06","Pledge","2","158946",""
"398300","31-MAR-06","Pledge","2","158948",""
"398301","31-MAR-06","Pledge","2","158956",""
"398302","31-MAR-06","Pledge","2","158959",""
"398303","31-MAR-06","Pledge","2","158963",""
"398304","31-MAR-06","Pledge","2","158965",""
"398305","31-MAR-06","Pledge","2","158972",""
"398306","31-MAR-06","Pledge","2","158966",""
"398307","31-MAR-06","Pledge","2","158964",""
"398308","31-MAR-06","Pledge","2","158958",""
"398309","31-MAR-06","Pledge","2","158947",""
"398310","31-MAR-06","Pledge","2","156167",""
"398311","31-MAR-06","Pledge","2","158961",""
"388667","01-JAN-06","Pledge","1","","0"
"388668","01-JAN-06","Pledge","1","","15"
