ETHICS_NUM,CAN_FNAME,CAN_MNAME,CAN_LNAME,BIRTHDATE,
"104155","Scott","Riley","Irwin",""
"104156","Charlie","M.","Laster",""
"104157","Jim","","Marshall",""
"104158","William","Martin","Gormley",""
"104160","Larry","","Gooch",""
"104162","Todd","Griffin","Lamb",""
"104163","David","Lloyd","Chapman Jr.",""
"104165","J.","Mark","Wall",""
"104164","Harold","","Roberts",""
"104166","Donald","Robert","Faulkner",""
"104167","Owen","Michael","Wilkerson",""
"104168","Greg","Gilbert","Meier",""
"104169","Mark","Baraman","Wofford",""
"104170","Jason","W.","Murphey",""
"104171","William (Bill)","David","Myers",""
"104172","Richard","B.","Subia",""
"104175","Dennis","","Loudermilk",""
"104173","Ruth","Ann","Robinson",""
"104174","William","Allen","Waterman",""
"104176","Sharla","Michelle","Walker",""
"104177","Tommy","","Thompson",""
"104178","Pat","","Potts",""
"104179","Jerry","D.","Buchanan",""
"104180","Jason","Eugene","Glidewell",""
"104183","Debbie","","Blackburn",""
"110000","jerry","","smith",""
"106014","Randall","","Brogdon",""
"104181","Jeremy","Bendale","Hendricks",""
"104182","Pamela","A","Nordstrom",""
"106015","Drew","","Edmondson",""
"104001","Jonathan","","Nichols",""
"104186","Jon","","Sellers",""
"104185","Kenneth","","Glenn",""
"104187","Todd","","Hembree",""
"104188","Trebor","","Worthen",""
"104189","Anthony","","Marlatt",""
"104190","Phil","","Richardson",""
"104191","Todd","","Dealy",""
"104192","Michael","","Herrin",""
"104194","Roy","","McClain",""
"104195","Earnest","","Ware",""
"104196","James","","Bell",""
"104197","Gary","","Banz",""
"104198","John","","Carey",""
"104199","Rusty","","McMurray",""
"104200","Bob","","Chambers",""
"104002","Jerry","L","Smith",""
"104003","J.","Clark","Jolley",""
"104004","Richard","","Williamson",""
"104005","Mike","","Morgan",""
"104007","John","Michael","Smaligo Jr.",""
"104008","Jimmy (Todd)","","Hiett",""
"100000","Darrell","","Farva",""
"104009","Nancy","C","Riley",""
"104010","Hopper","Thomas","Smith",""
"104011","John","A","Wright",""
"104012","Raymond","Gene","McCarter",""
"104013","Forrest","Allen","Claunch Sr.",""
"104014","Johnny","Dale","Turner",""
"104015","Joe","Loyd","Sweeden",""
"104016","Mike","E","Shelton",""
"104017","Abe","","Deutschendorf",""
"104018","Paul","D","Roan",""
"104019","Bill","","Case",""
"104020","Jerry","Lyndon","Ellis",""
"104201","Don","","Armes",""
"104202","Chris","","Benge",""
"104203","Gus","","Blackwell",""
"104204","Dale","","DeWitt",""
"104205","William","","Erwin",""
"104206","Tad","","Jones",""
"104207","Mark","","Liotta",""
"104208","Mike","","O'Neal",""
"104209","Fred","","Perry",""
"104210","Barbara","Masterson","Staggs",""
"104211","Randal","D","Terrill",""
"104212","Jeff","","Johnson",""
"104215","Raymond (RC)","","Pruett",""
"104213","Michael","Rex","Klinglesmith",""
"104214","Robert","","Sherrer",""
"104216","Richard","","Phillips",""
"104217","Neil","","Jensen",""
"104218","Stephen","","Schoaps",""
"104219","Tom","","Hoshall",""
"104220","William","","Kendrick",""
"104221","Gary","","Vance",""
"102295","John","M","Acken",""
"104222","Douglas","","Gorman",""
"104223","Brad","","Greer",""
"106016","Deborah","","Leftwich",""
"104224","Dwain","","Midget",""
"104225","Reece","","Kepler",""
"102053","Larry","E","Adair",""
"104226","Scott","","Inman",""
"104227","Ronald","","Justice",""
"104228","Cecil","","Williams",""
"106001","Gilmore","Neely","Capps",""
"106002","Gordon","","Fisher",""
"103001","Michael","Kris","Steele",""
"102213","Clifford","A","Aldridge",""
"102087","Chris","","Benge",""
"102333","Kathy","Lungren","Baker",""
"102037","Loyd","","Benson",""
"102543","Debbie","K","Blackburn",""
"102183","Gus","Ray","Blackwell",""
"102089","Denise","A","Bode",""
"102052","Jack","","Bonny",""
"102163","Cliff","","Branan",""
"102083","Robert","A","Butkin",""
"102050","Bernest","H","Cain Jr.",""
"102367","Kevin","","Calvey",""
"102117","Jeff","","Cloud",""
"102063","Harry","Edward","Coates",""
"102561","Glenn","","Coffee",""
"102222","Carolyn","","Coleman",""
"102256","Ann","","Coody",""
"102315","David","Max","Cook",""
"102044","Kenneth","","Corn",""
"106140","Jeannie","M","McDaniel",""
"106141","Dennis","L","Adkins",""
"106142","Gus","R","Blackwell",""
"106143","Sally","","Kern",""
"106144","Daniel","Ray","Bays",""
"106145","Al","","Lindley",""
"106146","Drew","","Dugan",""
"106147","Ann","","Coody",""
"106148","Roger","","Ballenger",""
"106149","Patricia","J","Potts",""
"106150","Don","Casey","Davis",""
"106151","Jim","Bob","Miller",""
"106152","Ryan","David","McMullen",""
"106153","Jay","","Cross",""
"106154","Todd","D.","Russ",""
"106156","Wayne","Allen","Walters",""
"106155","Peter","J.","Regan",""
"106157","Jari","","Askins",""
"106162","Joshua","David","Jantz",""
"108006","Susan","","Paddack",""
"106158","Todd","Mark","Thomsen",""
"106159","Matthew","W.","Harney",""
"106160","Scott","Norris","Bighorse",""
"106163","Bill","","Case",""
"106164","Joseph","Kimball","Lester",""
"106167","Sheryl","A","Johnson",""
"106165","Lisa","","DeBolt",""
"106166","Darrell","Eugene","Nemecek",""
"106168","Bret","T.","Burns",""
"106169","J.","Brian","Bingman",""
"106170","Joshua","Benjamin","Woods",""
"108007","Charlie","M.","Laster",""
"106171","Matthew","Ryan","Jones",""
"106172","Kevin","","Abel",""
"106173","Lloyd","L.","Fields",""
"106174","Tahrohon","Wayne","Shannon",""
"106175","Bill","L ","Brown",""
"106176","Frank ","D","Shurden",""
"106177","William","","Andrews",""
"106178","Kim","Ann","Dismuke",""
"106179","Test","Test","Test",""
"106314","Laura","A","Wallis",""
"106308","Barbara","G","Swinton",""
"106315","Wallace","","Collins",""
"108008","Test","","Test",""
"106183","Mary","Jane","Calvey",""
"106184","Kevin ","","Hopkins",""
"106185","Larry ","Dean","Moore",""
"106186","Raymond (rc)","Carl","Pruett",""
"106187","Michael ","Colby","Schwartz",""
"106188","Hollis ","Earl","Thorp",""
"106189","Mike ","","Wilt",""
"106190","Susan ","Clark","Winchester",""
"106191","Ron","L","Davis",""
"106192","Lisa","J","Billy",""
"106193","Jerry","Ray","Shoemake",""
"106194","Randy","Gene","Warren",""
"106316","Charles","Newton","Gray",""
"106196","Oliver ","Robert","Barris Iii",""
"106197","Daniel ","G.","Keating",""
"106198","Howard","G","Barnett Jr",""
"106199","Kenneth ","R","Corn",""
"106317","Gordon","D","Mcallister Jr.",""
"106318","Floyd","Wesley "" Wes ""","Owens",""
"106202","Darrell","Lee","Gilbert",""
"106203","Jeffery","Barclay","Potts",""
"106319","Carolyn","R","Ricks",""
"106205","Virginia","","Sanders",""
"106206","Ron","","Peters",""
"106207","Jeff ","A","Applekamp",""
"106208","Eddie ","Jay","Fields",""
"106209","Terry ","Lee","Ingmire",""
"106210","Mark","Everett","Mccullough",""
"106211","Jerry","L","Mc Peak",""
"106212","Larry ","Wayne ","Peck",""
"106213","Kris","Michael ","Steele ",""
"106214","Theodore ","Brett","Swab ",""
"106215","Charles ","C","Joyner",""
"108009","Can Test","","Can Test",""
"106216","James ""rob""","R.","Neal",""
"106217","Shane","David","Jett",""
"108010","Test","Test","Test",""
"106218","Guy","H","Liebmann",""
"106219","Cody","","Graves ",""
"106220","Russell ","Coleman","Vaclaw",""
"106221","Jeffrey","","Clinton",""
"108011","Jonathan","E","Nichols",""
"106222","Constance ","N ","Johnson ",""
"106223","Dennis","","Johnson",""
"106224","John ","M.","Smaligo Jr. ",""
"106225","Charles ","Jay ","Wieland ",""
"106226","Janice","Sue","Drewry",""
"106227","Earline","","Smaistrla",""
"106228","Lee","Roy","Tucker",""
"106229","Chris ","D","Oliver",""
"106309","John","Gregory","Camp",""
"106231","David","Max","Cook",""
"106232","Kenneth ","Larry ","Glenn",""
"106233","Willa ","D","Johnson",""
"106234","Robbie ","C","Kerr",""
"106235","Earl","William","Sears ",""
"106236","Bob","","Anthony",""
"106237","Dana","L","Kuehn",""
"106238","Tamara","Sue","Ward",""
"106239","Deirdre","O","Dexter",""
"106240","Janice","Sue","Drewry",""
"106241","Kevin","Dwain","Buchanan",""
"106242","Scott","Michael","Inman",""
"106243","Rob","","Johnson",""
"106244","Emily ","Jean","Redman",""
"106245","Jerry","Scott","Moore",""
"106246","Christine","Harris","Byrd",""
"106247","Donald","L","Deason",""
"106248","Jeffrey","Charles","Smith",""
"106249","Thomas","C","Giulioli",""
"106250","John","David","Luton",""
"106251","Jerry","Lee","Nowell",""
"106252","Caroline","Elizabeth","Wall",""
"106253","James","","Pratt",""
"106254","David ","Ray","Blades",""
"106255","Barbara","Brecheen","Gilbertson",""
"106256","Bryan","Charles","Dixon",""
"106257","Clifford","Jeffrey","Smith",""
"106258","Dale","Ray","Dewitt",""
"106259","Don","Lee","Armes",""
"106260","Bartlett","Andrew","Bouse",""
"106261","Bettie","Dean","Johnson",""
"106262","Gerald","Frank","Neuwirth",""
"106263","Tom","A.","Robinson",""
"106264","Jamie","Marie","Sears",""
"106265","Dennis","Dean","Campbell",""
"106266","Sheila","Ann","Condren",""
"106267","Cathy","L","Stocker",""
"106268","Lyon","Winston","Barton",""
"106269","Paul","","Wesselhoft",""
"106270","John","Wayne","Carey",""
"106271","Scott","Francis","Brockman",""
"106272","Mark","","Campbell",""
"106273","Jason","W","Murphey",""
"106274","Mark","A","Schwieso",""
"106275","Daniel","Paul","Stake",""
"106276","Rebecca","Brett","Nightingale",""
"106277","Ronald","R","Boone",""
"106278","Joe","Andrew","Hartman",""
"106279","P.","Thomas","Thornbrugh",""
"106280","John","Alexander","Blake",""
"106281","Robert","Daniel","Everman",""
"106282","Elmer","Ardryck","Gates",""
"106283","Dianne","Barker","Harrold",""
"106284","Brian","Michael","Jackson",""
"106285","Glen","Bud","Smithson",""
"106286","S","Suzanne","Woodrow",""
"106287","Edward","Henry","Cannaday",""
"106288","Susie","","Pritchett",""
"106310","Sue","Elaine","Buck",""
"106291","Kenneth","C.","Watson",""
"106292","Larry","Don","Foster Il",""
"106293","Bill","","Graves",""
"106294","Terry","M","Hyman",""
"106295","Charles","Daniel","Key",""
"106296","Daniel","Lee","Owens",""
"106297","Greg","Allen","Piatt",""
"106298","David","M","Dank",""
"106299","Rex","","Duncan",""
"106300","Noma","D","Gurich",""
"106301","Steven","Craig","Ladd",""
"106302","Kenneth","Adams","Miller",""
"106303","Jabar","","Shumate",""
"106304","Daniel","Scott","Sullivan",""
"106305","Duane","A","Woodliff",""
"106306","Trebor","","Worthen",""
"106307","John","Mark","Young",""
"106311","Brian","Ray","Mclaughlin",""
"106312","Kathryn","Sue","Thompson",""
"106313","James (jim)","R","Tidmore",""
"106320","Gordon","A","Harness",""
"106321","Vernon","D","Howard",""
"106322","Patricia","Gayle","Parrish",""
"106323","David","","Derby",""
"106325","Susan","Palmer","Caswell",""
"106324","Anastasia ","A","Pittman",""
"106326","Ray","Charles","Elliott",""
"106327","Terry","M","Harrison",""
"106328","Mike","Duane","Jackson",""
"106329","Timothy","Lyle","Olsen",""
"106330","Dynda","Rose","Post",""
"106331","Twyla","Mason","Gray",""
"106332","Farley","Wayne","Ward",""
"106333","Brian","John","Kuester",""
"106334","Dale","L.","Jackson",""
"106335","Rex","","Barrett",""
"106336","Dennis","Wayne","Hladik",""
"106337","Martha","K.","Kilgore",""
"106338","Malcolm","Maurice","Savage",""
"106339","Danita","Gay","Williams",""
"106340","James","Reed","Wolfe",""
"106341","Pamela","Sue","Cross",""
"106342","Kimberly","Elaine","Fobbs",""
"106343","Christopher","S.","Medlock",""
"106344","Gaylene","","Mccallum",""
"106345","J","D","Johnston",""
"106347","Nathan","J","Gigger",""
"106346","Steven","Craig","Gallo",""
"106348","Thomas","Casey","Gillert",""
"106349","Richard","Wayne","Kirby",""
"106350","Charles","Ellis","Cabaniss",""
"106351","James","R","Whitmer",""
"106352","Sheila","Gatlin","Kirk",""
"106353","Mike","A","Shelton",""
"106354","Kenneth","Eugene","Hartin",""
"106356","Stanley","Bruce","Brooks",""
"106355","Linda","Lee","Sexton",""
"106357","J,","M.","Branum",""
"106358","Gregg","Lee","Graves",""
"106359","Michael","Dean","Wininger",""
"106361","Charles","","Gass",""
"106360","Connie","L","Dodson",""
"106362","J","Michael","Gassett",""
"106363","William","Charles","Kellough",""
"106364","Cal","","Hobson",""
"106365","Richard","Dwane","Osburn",""
"106366","Charles","","Rainbolt",""
"106367","E","Z","Million",""
"106368","Rashid","","Abdulla",""
"106369","Michael","D","Deberry",""
"106370","Robert","","Schulte",""
"106371","Larry","D","Stuart",""
"106372","Harold","Michael","Claver",""
"106373","George","W","Butner",""
"106374","Wayne","Cornellius","Chandler Jr.",""
"106375","Mark","Stephen","Clark",""
"106376","Tom","","Landrith",""
"106377","Don","Ed","Payne",""
"106379","David","A","Barnett",""
"106378","N","Vinson","Barefoot",""
"106380","John","","Gardner",""
"106381","Douglas","W","Golden",""
"106382","Ronald","L","Kincannon",""
"106383","Leslie","D","Page",""
"106384","Lawrence","W","Parish",""
"106385","William","N","Peterson",""
"106386","Gerald","H","Riffe",""
"106387","Norman","L","Russell",""
"106388","Gary","","Snow",""
"106389","C","William ""Bill""","Stratton",""
"106390","Joe","Sam","Vassar",""
"106391","Paul","M","Vassar",""
"106392","Max","","Wolfley",""
"106393","Greg","A","Zigler",""
"106394","Joseph","P","Marak Jr.",""
"106395","Keith","Byron","Aycock",""
"106396","Tammy","L","Bass Jones Le Sure",""
"106397","Patrick","Thomas","Crawley",""
"106398","David","Paul","Cullen",""
"106399","Robert","Moore","Murphy, Jr.",""
"106400","William","Jeffery","Davis",""
"106401","Dana","Lynn","Orwig",""
"106402","Nan","J","Patton",""
"106403","Gary","W","Updyke",""
"106404","Guy","Andre","Goodine",""
"106139","Willard","","Linzy",""
"102023","Terry","Lee","Ingmire",""
"102041","Stephen","Michael","Largent",""
"102055","Mark","Richard","Liotta",""
"102060","Lance","","Cargill",""
"102108","Jari","","Askins",""
"102112","Kort","A.","BeSore",""
"102113","David","Daniel","Boren",""
"102064","Joe","","Eddins",""
"102066","Steven","Lee","Holcombe",""
"102115","Alex","","Greenwood",""
"102068","Thad","","Balkman",""
"102123","Mike","E","O'Neal",""
"102072","Purcy","D","Walker",""
"102125","E. James","Fargo","Wilson",""
"102074","Bill","","Nations",""
"102133","Darrell","Lee","Gilbert",""
"102079","Susan","","Winchester",""
"102135","Jon","Keith","Parsley",""
"102090","Tad","","Jones",""
"102171","Michael","D","DeBerry",""
"102093","Bob","","Plunk",""
"102172","John","J","Trebilcock",""
"102095","Lucky","","Lamons",""
"102174","Vickie","Sue","McKinnon",""
"102097","Dennis","Lee","Adkins",""
"102061","Gary","L","Richardson",""
"102184","Mike","","Reynolds",""
"102187","Danny","","Morgan",""
"102202","P. Thomas","","Thornbrugh",""
"102217","Doug","","Miller",""
"102223","Angela","Renee","Hendrix",""
"102230","Dale","R","DeWitt",""
"102238","Tammy Bass-","","Jones",""
"102245","Steve","","Harry",""
"102249","Fannie","","Bates",""
"102253","Robert","Anthony","Wallace",""
"102265","Stuart","Leland","Rustin",""
"102266","Judy","Eason","McIntyre",""
"102297","Doug","J","Barry",""
"102310","Orval","Ray","Miller",""
"102319","Ron","E","Markum",""
"102321","Fred","R","Perry",""
"102360","Robert","Ray","Redwine",""
"102363","Don","","Armes",""
"102395","Bill","","Paulk",""
"102399","Juan","Dwayne","Steidley",""
"102410","Rebecca","","Hamilton",""
"102451","Richard","C","Phillips",""
"102453","Dale","Richard","Marlar",""
"102458","Jack","Ross","Henderson",""
"102544","Stuart","D","Ericson",""
"102559","Ray","Daniel","Young",""
"102572","Roy","Dwayne","McClain",""
"103003","Charlie","M","Laster",""
"198050","William","D.","LaFortune",""
"198059","Paul","","Muegge",""
"198101","Howard","H","Hendrick",""
"198102","Edward","Scott","Pruitt",""
"198143","Denise","A","Bode",""
"104385","Charles","Raymond","Brewer",""
"104386","Dottie","A","Caldwell",""
"104387","E.Z.","","Million",""
"104388","John","","Nance",""
"104389","Robert","Daniel","Pinney",""
"104390","Don","","Barrington",""
"104391","Scott","Eric","Begley",""
"104392","Rex","Neil","Berry",""
"104393","Eric","Eugene","Beu",""
"104394","Neil","Marvin","Brannon",""
"104395","Angie","Sue","Jeffries",""
"104396","Tony","","Kohl",""
"104397","Matthew","","Webb",""
"104398","Thomas","Roy","Cook",""
"104399","Desmond","Paul","Donathan",""
"104400","Joe","E","Dorman",""
"104401","Ronald","Karol","Higgins",""
"104402","Sandra (Sandie)","W","Howard",""
"104403","Larry","W.","Self",""
"104406","Jim","J","States",""
"104405","Joseph","Thomas","Sinko",""
"104407","Deborah","A.","Taggart",""
"104408","Scott","Dan","Van Krevelen",""
"104409","Randy","W","Bass",""
"104410","J.","Jeanie","Brinkley",""
"104411","Lee","Roberts","Denney",""
"104412","Marilyn","Katy","Feaver",""
"104413","Austin","Peyton","Hansen",""
"104414","Melanie","","Millar",""
"104415","Herbert","","Townsend",""
"104416","Hollis","","Harper",""
"104417","Nancy","","Rothman",""
"104420","John","","Wylie",""
"104419","Frost","Anthony","Back",""
"104421","Pat","S","Bateman",""
"104423","Christi","Renae'","Spencer",""
"104422","Thomas","Edwon","McBride",""
"104429","Ronald","","Peters",""
"104424","John","Wayne","Perry",""
"104430","Misti","Michelle","Rice",""
"104425","James","Lamar","Stovall",""
"104426","Mike","","Mass",""
"104427","Curt","Allen","Roggow",""
"104428","Stuart","","Eircson",""
"104431","Ron","Duane","Peterson",""
"104432","Jerry","L","McPeak",""
"104433","Paul","Payton","Payton",""
"104434","Clark","L","Curry",""
"106021","Johnnie","","Crutchfield",""
"104435","Steve","Anthony","Harry",""
"104436","Jeana","Dally","Parker",""
"104438","Chris","","Hastings",""
"104439","Kenneth","Wayne","Sherrill",""
"104437","Allen","M","Hart",""
"104440","Garland","R","Foster",""
"104441","Karroll","Glynn","Rhoads",""
"104442","Gregory","D","Brown",""
"104443","Shane","David","Jett",""
"100262","John","A","Sullivan",""
"104444","Allen","M","Thompson",""
"100235","John","Gilbert","Nance",""
"104445","James","L","Clark",""
"106022","James","L.","Clark",""
"106023","Mary","L.","Easley",""
"106024","Pamela","Lynn","Peterson",""
"198001","Lowell","R.","Burgess Jr.",""
"108001","Jim","","Reynolds",""
"100128","Opio","","Toure",""
"100006","Lewis","","Long",""
"100221","David","Wayne","Lee",""
"100204","Charles","","Gray",""
"100199","Larry","","Ferguson",""
"198144","Opio","","Toure",""
"198506","Larry","","Ferguson",""
"198474","Lowell","R","Burgess Jr.",""
"106025","John","A","Wright",""
"104446","Joda","","Trimiar",""
"106026","Rhonda","G","Rudd",""
"106031","Timothy","Wayne","Emrich",""
"106027","Jay","Paul","Gumm",""
"106028","Robert","Wade","Rousselot",""
"106029","Johnny","Dale","Turner",""
"106030","Daisy","","Lawler",""
"106032","Paul","D.","Roan",""
"106033","Gary","W.","Banz",""
"198002","Louis","G","Buchanan",""
"198487","Louis","G","Buchanan",""
"106034","Joe","Loyd","Sweeden",""
"106035","David","B","Braddock",""
"106036","Thad","","Balkman",""
"106037","Douglas","G","Cox",""
"106038","Tim","D","Kuykendall",""
"106039","Michael","Ray","Thompson",""
"198662","Barry","","Hale",""
"198540","Jefferson","D","Sellers",""
"198477","Jack","","Morgan",""
"100201","Steve","","Galpin",""
"100281","John","","Sellers",""
"198169","John","Arthur","Sellers",""
"198071","Courtney","Shane","Hunt",""
"106040","Larry","W","Gooch",""
"108002","Earl","G","Garrison",""
"106045","Andrew","Monroe","Rice",""
"106041","Lance","William","Cargill",""
"106042","Michael","William","Christian",""
"108003","Michael","Paul","Mazzei",""
"106043","John","Hunt","Sparks",""
"106044","Randy","W","Bass",""
"106046","Brad","","Henry",""
"106047","Sydney","","Jordan, Jr.",""
"106048","Michael","Andrew","Starega",""
